OCC_CLS,SQFEET,PROP_ADDR,PROP_CITY,E
Residential,2521.782,886 NORTH 1000 EAST,BOUNTIFUL,
Residential,807.6323,345 NORTH 200 EAST,BOUNTIFUL,
Residential,2159.167,60 NORTH 300 EAST,BOUNTIFUL,
Commercial,6329.156,385 WEST 400 NORTH,BOUNTIFUL,
Residential,1681.195,530 NORTH 1100 EAST,BOUNTIFUL,
Residential,576.8786,86 WEST 800 NORTH,BOUNTIFUL,
Residential,3082.166,40 NORTH 600 EAST,BOUNTIFUL,
Residential,4977.642,767 NORTH JESSI S MEADOW DRIVE,WEST BOUNTIFUL,
Residential,428.5395,340 NORTH 400 EAST,BOUNTIFUL,
Assembly,1038.382,720 EAST 550 NORTH,BOUNTIFUL,
Residential,2637.169,81 NORTH 200 EAST,BOUNTIFUL,
Residential,3296.439,605 NORTH JESSI S MEADOW DRIVE,WEST BOUNTIFUL,
Residential,1994.353,831 NORTH 1100 WEST,WEST BOUNTIFUL,
Residential,3296.454,13 NORTH 1000 EAST,BOUNTIFUL,
Residential,1928.428,34 WEST 800 NORTH,BOUNTIFUL,
Residential,2241.585,149 EAST 800 NORTH,BOUNTIFUL,
Residential,2076.767,553 NORTH 1300 EAST,BOUNTIFUL,
Residential,3131.628,584 EAST 350 NORTH,BOUNTIFUL,
Industrial,3197.564,,,
Residential,593.3605,160 WEST 300 NORTH,BOUNTIFUL,
Residential,2307.504,820 NORTH 325 WEST,BOUNTIFUL,
Residential,1499.885,173 EAST 800 NORTH,BOUNTIFUL,
Residential,2966.804,555 NORTH DAVIS BOULEVARD,BOUNTIFUL,
Residential,3082.189,805 NORTH EAGLE RIDGE DRIVE,BOUNTIFUL,
Residential,1186.712,166 WEST 300 NORTH,BOUNTIFUL,
Residential,1977.887,1015 EAST CENTER STREET,BOUNTIFUL,
Residential,6428.07,721 WEST 400 NORTH,WEST BOUNTIFUL,
Residential,3692.024,445 EAST 550 NORTH,BOUNTIFUL,
Residential,2373.436,1028 EAST 900 NORTH,BOUNTIFUL,
Residential,2505.313,1147 EAST CENTER STREET,BOUNTIFUL,
Residential,1186.701,869 NORTH 900 EAST,BOUNTIFUL,
Residential,3757.914,1357 EAST PHEASANT RIDGE CIRCLE,BOUNTIFUL,
Residential,2241.588,363 EAST 550 NORTH,BOUNTIFUL,
Commercial,20273.14,23 NORTH MAIN STREET,BOUNTIFUL,
Residential,1384.513,317 EAST 550 NORTH,BOUNTIFUL,
Residential,4746.87,809 NORTH PARK SHADOWS CIRCLE,BOUNTIFUL,
Residential,1582.298,1016 EAST 900 NORTH,BOUNTIFUL,
Residential,593.3547,998 EAST 350 NORTH,BOUNTIFUL,
Residential,1582.304,535 EAST CENTER STREET,BOUNTIFUL,
Residential,1582.286,339 NORTH 100 WEST,BOUNTIFUL,
Residential,1730.634,223 EAST 550 NORTH,BOUNTIFUL,
Residential,1054.857,57 NORTH 300 EAST,BOUNTIFUL,
Residential,1087.823,345 EAST 550 NORTH,BOUNTIFUL,
Residential,890.0218,844 NORTH CHAPEL DRIVE,BOUNTIFUL,
Residential,2241.591,964 EAST 900 NORTH,BOUNTIFUL,
Residential,2076.779,328 NORTH 300 WEST,BOUNTIFUL,
Commercial,1384.497,330 NORTH 100 EAST,BOUNTIFUL,
Residential,1318.59,465 EAST CENTER STREET,BOUNTIFUL,
Residential,1186.728,320 WEST 300 NORTH,BOUNTIFUL,
Commercial,1038.375,510 WEST 550 NORTH,WEST BOUNTIFUL,
Residential,1516.362,890 NORTH 950 EAST,BOUNTIFUL,
Residential,1681.181,81 NORTH 200 EAST,BOUNTIFUL,
Commercial,2109.738,830 NORTH 500 WEST,BOUNTIFUL,
Residential,659.2859,339 NORTH 100 WEST,BOUNTIFUL,
Residential,1582.294,330 WEST 300 NORTH,BOUNTIFUL,
Residential,2241.579,1357 EAST 600 NORTH,BOUNTIFUL,
Residential,2966.791,1316 EAST 600 NORTH,BOUNTIFUL,
Residential,1038.371,1051 EAST CENTER STREET,BOUNTIFUL,
Residential,4104.065,1060 WEST 600 NORTH,WEST BOUNTIFUL,
Residential,2142.676,887 NORTH 1000 EAST,BOUNTIFUL,
Residential,4120.55,802 NORTH PARK SHADOWS CIRCLE,BOUNTIFUL,
Residential,527.4282,1275 WEST 400 NORTH,WEST BOUNTIFUL,
Residential,1846.007,308 NORTH 800 WEST,WEST BOUNTIFUL,
Residential,2109.717,56 NORTH 800 EAST,BOUNTIFUL,
Residential,2109.711,324 NORTH 300 WEST,BOUNTIFUL,
Residential,2109.73,1131 EAST 500 NORTH,BOUNTIFUL,
Utility and Misc,2801.974,,,
Residential,5884.16,522 EAST 900 NORTH,BOUNTIFUL,
Residential,593.3558,181 WEST 100 NORTH,BOUNTIFUL,
Residential,659.2899,28 WEST 800 NORTH,BOUNTIFUL,
Commercial,2966.807,182 WEST 300 NORTH,BOUNTIFUL,
Residential,5076.53,56 WEST 300 NORTH,BOUNTIFUL,
Residential,2472.328,251 EAST 550 NORTH,BOUNTIFUL,
Residential,2966.804,1467 EAST CENTER STREET,BOUNTIFUL,
Residential,2637.167,575 NORTH JESSI S MEADOW DRIVE,WEST BOUNTIFUL,
Residential,2175.655,885 NORTH 950 EAST,BOUNTIFUL,
Residential,461.5034,715 WEST 400 NORTH,WEST BOUNTIFUL,
Residential,1499.89,1039 EAST CENTER STREET,BOUNTIFUL,
Commercial,2356.973,320 NORTH 200 WEST,BOUNTIFUL,
Residential,1928.429,237 EAST 550 NORTH,BOUNTIFUL,
Residential,1648.231,890 NORTH 900 EAST,BOUNTIFUL,
Residential,2521.787,830 EAST 75 NORTH,BOUNTIFUL,
Residential,1186.721,892 NORTH 1050 EAST,BOUNTIFUL,
Residential,1384.516,56 WEST 300 NORTH,BOUNTIFUL,
Residential,2769.033,499 NORTH 200 WEST,BOUNTIFUL,
Residential,1977.866,1191 WEST MILLBRIDGE LANE,WEST BOUNTIFUL,
Residential,1846.023,127 EAST 550 NORTH,BOUNTIFUL,
Residential,1582.299,575 NORTH 300 EAST,BOUNTIFUL,
Residential,2142.695,1140 EAST NORTHERN HILLS DRIVE,BOUNTIFUL,
Residential,3626.086,1373 EAST PHEASANT RIDGE CIRCLE,BOUNTIFUL,
Commercial,1994.335,330 NORTH 100 EAST,BOUNTIFUL,
Residential,1730.617,1117 EAST CENTER STREET,BOUNTIFUL,
Residential,2175.654,846 NORTH 275 WEST,BOUNTIFUL,
Industrial,593.3597,94 NORTH 100 WEST,BOUNTIFUL,
Residential,593.3586,810 NORTH 600 WEST,WEST BOUNTIFUL,
Residential,3527.189,323 NORTH 100 EAST,BOUNTIFUL,
Residential,1285.612,318 NORTH 350 WEST,BOUNTIFUL,
Commercial,4450.181,499 NORTH 200 WEST,BOUNTIFUL,
Government,13053.96,550 NORTH 800 WEST,WEST BOUNTIFUL,
Utility and Misc,3428.271,,,
Residential,923.0127,425 EAST CENTER STREET,BOUNTIFUL,
Residential,461.5025,272 EAST 900 NORTH,BOUNTIFUL,
Residential,2686.586,1105 EAST 300 NORTH,BOUNTIFUL,
Commercial,4285.383,499 NORTH 200 WEST,BOUNTIFUL,
Residential,1846.022,1165 EAST CENTER STREET,BOUNTIFUL,
Residential,4730.375,1040 WEST 600 NORTH,WEST BOUNTIFUL,
Residential,692.2551,42 WEST 800 NORTH,BOUNTIFUL,
Residential,890.0369,345 NORTH 200 EAST,BOUNTIFUL,
Residential,2801.974,1435 EAST CENTER STREET,BOUNTIFUL,
Residential,1318.575,346 NORTH 200 EAST,BOUNTIFUL,
Residential,1813.039,331 EAST 550 NORTH,BOUNTIFUL,
Residential,2373.44,1381 EAST SKYLINE DRIVE,BOUNTIFUL,
Utility and Misc,1318.582,,,
Residential,3164.584,860 NORTH NORTHERN HILLS CIRCLE,BOUNTIFUL,
Residential,2307.534,854 NORTH 200 WEST,BOUNTIFUL,
Residential,2505.296,1063 EAST CENTER STREET,BOUNTIFUL,
Residential,3296.489,829 NORTH 900 WEST,WEST BOUNTIFUL,
Residential,1038.387,345 NORTH 400 EAST,BOUNTIFUL,
Residential,2225.096,209 EAST 550 NORTH,BOUNTIFUL,
Residential,5455.628,876 EAST 75 NORTH,BOUNTIFUL,
Residential,1977.859,303 EAST 550 NORTH,BOUNTIFUL,
Residential,2999.762,1419 EAST NORTHRIDGE DRIVE,BOUNTIFUL,
Residential,1714.146,344 NORTH 300 EAST,BOUNTIFUL,
Commercial,988.9338,,,
Commercial,2571.219,315 NORTH 200 WEST,BOUNTIFUL,
Residential,527.4352,149 WEST 400 NORTH,BOUNTIFUL,
Residential,988.9315,165 EAST 550 NORTH,BOUNTIFUL,
Residential,395.5778,78 WEST 800 NORTH,BOUNTIFUL,
Residential,3428.327,840 NORTH 1100 WEST,WEST BOUNTIFUL,
Commercial,988.9425,314 WEST CENTER STREET,BOUNTIFUL,
Residential,4713.92,835 WEST HERITAGE POINTE LANE,WEST BOUNTIFUL,
Residential,1977.867,317 NORTH 350 WEST,BOUNTIFUL,
Residential,2109.717,305 WEST 650 NORTH,BOUNTIFUL,
Residential,4499.66,1217 WEST MILLBRIDGE LANE,WEST BOUNTIFUL,
Residential,1285.635,585 NORTH 1100 WEST,WEST BOUNTIFUL,
Residential,2966.789,827 NORTH 750 WEST,WEST BOUNTIFUL,
Industrial,1846.015,343 NORTH MAIN STREET,BOUNTIFUL,
Commercial,1384.504,,,
Residential,3922.778,340 NORTH 100 WEST,BOUNTIFUL,
Commercial,1582.286,562 WEST 550 NORTH,WEST BOUNTIFUL,
Commercial,1285.615,830 NORTH 500 WEST,BOUNTIFUL,
Residential,1780.08,1183 EAST CENTER STREET,BOUNTIFUL,
Residential,988.933,847 NORTH CHAPEL DRIVE,BOUNTIFUL,
Residential,2653.637,257 EAST 300 NORTH,BOUNTIFUL,
Residential,593.3576,185 EAST 550 NORTH,BOUNTIFUL,
Utility and Misc,527.4338,,,
Utility and Misc,593.3661,,,
Residential,4779.85,1379 EAST VINEYARD DRIVE,BOUNTIFUL,
Utility and Misc,1186.709,,,
Utility and Misc,988.9409,,,
Utility and Misc,4153.552,,,
Utility and Misc,5801.736,,,
Residential,2966.799,805 NORTH JESSI S MEADOW DRIVE,WEST BOUNTIFUL,
Residential,2307.514,820 NORTH 750 WEST,WEST BOUNTIFUL,
Residential,2637.157,311 NORTH 750 WEST,WEST BOUNTIFUL,
Residential,3082.182,585 NORTH 1100 WEST,WEST BOUNTIFUL,
Education,593.3608,595 NORTH 500 WEST,WEST BOUNTIFUL,
Residential,1977.857,1163 WEST MILLBRIDGE LANE,WEST BOUNTIFUL,
Residential,23998.12,600 NORTH 500 WEST,BOUNTIFUL,
Utility and Misc,3626.095,,,
Utility and Misc,3378.869,,,
Utility and Misc,6312.709,1007 EAST SKYHAWK DRIVE,WENDOVER,
Residential,5043.55,1205 WEST JESSI S MEADOW WAY,WEST BOUNTIFUL,
Residential,593.3672,365 NORTH 100 WEST,BOUNTIFUL,
Residential,593.3558,1413 EAST CENTER STREET,BOUNTIFUL,
Residential,2373.442,321 NORTH 300 WEST,BOUNTIFUL,
Residential,2307.51,267 EAST 550 NORTH,BOUNTIFUL,
Utility and Misc,12328.72,,,
Utility and Misc,791.1432,,,
Residential,2521.785,1223 EAST NORTHERN HILLS DRIVE,BOUNTIFUL,
Residential,1780.069,485 EAST CENTER STREET,BOUNTIFUL,
Residential,3131.625,815 NORTH 700 WEST,WEST BOUNTIFUL,
Residential,1631.751,810 NORTH 600 WEST,WEST BOUNTIFUL,
Residential,791.1396,1311 WEST 400 NORTH,WEST BOUNTIFUL,
Agriculture,1846.005,,,
Residential,1054.863,597 NORTH 400 EAST,BOUNTIFUL,
Utility and Misc,12510.03,,,
Utility and Misc,4812.795,,,
Utility and Misc,13185.79,,,
Residential,2571.231,501 EAST CENTER STREET,BOUNTIFUL,
Utility and Misc,14586.79,,,
Utility and Misc,659.2959,1007 EAST SKYHAWK DRIVE,WENDOVER,
Utility and Misc,24558.52,,,
Residential,2241.599,805 NORTH 660 WEST,WEST BOUNTIFUL,
Residential,5999.541,1161 EAST 300 NORTH,BOUNTIFUL,
Residential,395.5744,345 EAST 550 NORTH,BOUNTIFUL,
Residential,593.3642,145 EAST 550 NORTH,BOUNTIFUL,
Assembly,1582.293,1240 EAST 500 NORTH,BOUNTIFUL,
Residential,4351.315,1473 EAST SKYLINE DRIVE,BOUNTIFUL,
Residential,2670.114,349 NORTH 300 EAST,BOUNTIFUL,
Residential,3362.374,64 NORTH TIERRA VISTA COURT,BOUNTIFUL,
Residential,1582.294,1001 WEST 400 NORTH,WEST BOUNTIFUL,
Commercial,5851.206,397 WEST 400 NORTH,BOUNTIFUL,
Residential,1186.729,570 NORTH 1000 EAST,BOUNTIFUL,
Residential,2604.203,766 NORTH JESSI S MEADOW DRIVE,WEST BOUNTIFUL,
Residential,1450.452,895 NORTH 200 WEST,BOUNTIFUL,
Residential,4153.507,1387 EAST PHEASANT RIDGE CIRCLE,BOUNTIFUL,
Residential,2719.567,1276 EAST CENTER STREET,BOUNTIFUL,
Residential,2637.152,581 NORTH 1100 EAST,BOUNTIFUL,
Commercial,3757.968,830 NORTH 500 WEST,BOUNTIFUL,
Residential,2966.793,1451 EAST CENTER STREET,BOUNTIFUL,
Residential,4153.519,1195 WEST JESSI S MEADOW WAY,WEST BOUNTIFUL,
Residential,2373.437,896 EAST 350 NORTH,BOUNTIFUL,
Assembly,14240.69,311 NORTH 800 WEST,WEST BOUNTIFUL,
Commercial,3428.293,592 NORTH MAIN STREET,BOUNTIFUL,
Residential,2373.452,898 EAST 75 NORTH,BOUNTIFUL,
Residential,1648.219,583 NORTH 200 EAST,BOUNTIFUL,
Commercial,659.2888,830 NORTH 500 WEST,BOUNTIFUL,
Residential,2637.156,883 WEST 850 NORTH,WEST BOUNTIFUL,
Residential,2966.792,968 EAST 350 NORTH,BOUNTIFUL,
Residential,593.3572,135 EAST 550 NORTH,BOUNTIFUL,
Residential,2966.821,591 NORTH 840 WEST,WEST BOUNTIFUL,
Utility and Misc,527.4315,1007 EAST SKYHAWK DRIVE,WENDOVER,
Residential,1318.575,44 NORTH 1000 EAST,BOUNTIFUL,
Utility and Misc,3692.036,,,
Utility and Misc,2472.341,1007 EAST SKYHAWK DRIVE,WENDOVER,
Utility and Misc,2571.201,1007 EAST SKYHAWK DRIVE,WENDOVER,
Utility and Misc,1318.576,,,
Residential,3477.747,877 NORTH NORTHERN HILLS CIRCLE,BOUNTIFUL,
Residential,2109.727,910 EAST 350 NORTH,BOUNTIFUL,
Residential,1681.208,920 EAST 350 NORTH,BOUNTIFUL,
Residential,2307.528,525 EAST 550 NORTH,BOUNTIFUL,
Residential,2373.443,18 SOUTH 1300 EAST,BOUNTIFUL,
Residential,4153.521,1343 EAST 600 NORTH,BOUNTIFUL,
Government,1730.668,,,
Government,2422.887,327 EAST AIRPORT DRIVE,WENDOVER,
Residential,2373.424,867 NORTH 750 EAST,BOUNTIFUL,
Residential,2307.513,942 EAST 350 NORTH,BOUNTIFUL,
Residential,1977.854,1137 WEST MILLBRIDGE LANE,WEST BOUNTIFUL,
Residential,3214.025,344 NORTH 1000 EAST,BOUNTIFUL,
Commercial,461.5042,522 WEST 550 NORTH,WEST BOUNTIFUL,
Government,2966.796,327 EAST AIRPORT DRIVE,WENDOVER,
Government,527.4233,,,
Residential,890.0457,870 NORTH 400 EAST,BOUNTIFUL,
Residential,4746.884,1287 WEST MILLBRIDGE LANE,WEST BOUNTIFUL,
Residential,2801.982,1305 EAST SKYLINE DRIVE,BOUNTIFUL,
Residential,1483.406,739 EAST 550 NORTH,BOUNTIFUL,
Residential,807.6434,334 NORTH 350 WEST,BOUNTIFUL,
Residential,2109.731,910 EAST 75 NORTH,BOUNTIFUL,
Residential,2719.567,781 EAST 550 NORTH,BOUNTIFUL,
Residential,3082.185,851 NORTH 1100 WEST,WEST BOUNTIFUL,
Commercial,6592.897,383 WEST 400 NORTH,BOUNTIFUL,
Residential,1582.307,418 WEST CENTER STREET,BOUNTIFUL,
Residential,2225.101,359 NORTH 1225 EAST,BOUNTIFUL,
Residential,1582.297,628 NORTH 1100 WEST,WEST BOUNTIFUL,
Residential,2373.441,861 NORTH 800 EAST,BOUNTIFUL,
Residential,1977.869,1345 EAST VINEYARD DRIVE,BOUNTIFUL,
Commercial,1318.578,830 NORTH 500 WEST,BOUNTIFUL,
Residential,988.9341,932 EAST 350 NORTH,BOUNTIFUL,
Residential,1384.507,587 NORTH 700 EAST,BOUNTIFUL,
Residential,3131.624,679 EAST CENTER STREET,BOUNTIFUL,
Residential,1813.051,295 WEST 650 NORTH,BOUNTIFUL,
Utility and Misc,4285.402,,,
Government,4895.231,785 2ND STREET,WENDOVER,
Commercial,3823.856,830 NORTH 500 WEST,BOUNTIFUL,
Commercial,2307.53,830 NORTH 500 WEST,BOUNTIFUL,
Residential,2801.958,316 NORTH 750 WEST,WEST BOUNTIFUL,
Residential,1186.729,403 EAST CENTER STREET,BOUNTIFUL,
Residential,1318.573,162 EAST 400 NORTH,BOUNTIFUL,
Residential,2208.611,731 EAST 550 NORTH,BOUNTIFUL,
Commercial,1450.453,830 NORTH 500 WEST,BOUNTIFUL,
Residential,3692.018,1263 WEST MILLBRIDGE LANE,WEST BOUNTIFUL,
Residential,2241.591,1317 EAST SKYLINE DRIVE,BOUNTIFUL,
Residential,1318.581,357 NORTH 200 EAST,BOUNTIFUL,
Residential,791.1528,1018 WEST 600 NORTH,WEST BOUNTIFUL,
Residential,3098.651,594 NORTH 900 WEST,WEST BOUNTIFUL,
Residential,2966.81,1331 WEST MILLBRIDGE LANE,WEST BOUNTIFUL,
Residential,2472.346,709 EAST 550 NORTH,BOUNTIFUL,
Residential,1318.577,73 WEST 900 NORTH,BOUNTIFUL,
Residential,1977.891,632 WEST 800 NORTH,WEST BOUNTIFUL,
Residential,2769.007,1275 WEST 400 NORTH,WEST BOUNTIFUL,
Residential,2999.781,73 NORTH 800 EAST,BOUNTIFUL,
Residential,1318.583,360 EAST 400 NORTH,BOUNTIFUL,
Residential,4763.351,1070 WEST 600 NORTH,WEST BOUNTIFUL,
Residential,2373.447,610 WEST 800 NORTH,WEST BOUNTIFUL,
Residential,3461.272,5 NORTH 1375 EAST,BOUNTIFUL,
Assembly,21196.14,858 NORTH 800 WEST,WEST BOUNTIFUL,
Assembly,1285.616,,,
Residential,1054.859,331 NORTH 750 WEST,WEST BOUNTIFUL,
Residential,1318.569,996 WEST 600 NORTH,WEST BOUNTIFUL,
Residential,2109.747,1307 WEST MILLBRIDGE LANE,WEST BOUNTIFUL,
Residential,2571.224,571 EAST 550 NORTH,BOUNTIFUL,
Utility and Misc,2769.013,1007 EAST SKYHAWK DRIVE,WENDOVER,
Utility and Misc,2769.001,1007 EAST SKYHAWK DRIVE,WENDOVER,
Residential,1977.862,865 NORTH 650 EAST,BOUNTIFUL,
Residential,3049.209,352 NORTH 1000 EAST,BOUNTIFUL,
Residential,3757.949,1371 EAST 600 NORTH,BOUNTIFUL,
Residential,2389.93,920 EAST 75 NORTH,BOUNTIFUL,
Utility and Misc,2571.227,1007 EAST SKYHAWK DRIVE,WENDOVER,
Government,527.4266,,,
Residential,1977.874,860 NORTH 600 EAST,BOUNTIFUL,
Residential,1450.443,333 NORTH 350 WEST,BOUNTIFUL,
Residential,494.4655,445 EAST CENTER STREET,BOUNTIFUL,
Commercial,5538.017,340 NORTH 500 WEST,BOUNTIFUL,
Residential,791.1536,735 WEST 400 NORTH,WEST BOUNTIFUL,
Residential,593.3676,571 NORTH 1300 EAST,BOUNTIFUL,
Residential,3856.842,595 NORTH 800 WEST,WEST BOUNTIFUL,
Government,527.4412,,,
Government,593.3536,,,
Residential,2241.577,1311 EAST SKYLINE DRIVE,BOUNTIFUL,
Residential,2637.152,15 NORTH MOSS HILL DRIVE,BOUNTIFUL,
Residential,2966.797,1215 WEST JESSI S MEADOW WAY,WEST BOUNTIFUL,
Residential,2670.12,864 NORTH 750 EAST,BOUNTIFUL,
Residential,2571.224,349 NORTH 1225 EAST,BOUNTIFUL,
Education,2801.998,595 NORTH 500 WEST,WEST BOUNTIFUL,
Residential,1483.398,515 EAST CENTER STREET,BOUNTIFUL,
Residential,4483.167,759 EAST 550 NORTH,BOUNTIFUL,
Residential,2900.875,867 NORTH 600 EAST,BOUNTIFUL,
Residential,1318.578,370 NORTH 100 WEST,BOUNTIFUL,
Residential,791.1501,75 NORTH 100 WEST,BOUNTIFUL,
Residential,1269.127,334 NORTH 350 WEST,BOUNTIFUL,
Residential,1977.869,335 NORTH 300 WEST,BOUNTIFUL,
Residential,2999.771,503 EAST 550 NORTH,BOUNTIFUL,
Residential,1153.749,230 EAST 900 NORTH,BOUNTIFUL,
Residential,4219.431,44 NORTH TIERRA VISTA COURT,BOUNTIFUL,
Residential,1318.564,355 NORTH 400 EAST,BOUNTIFUL,
Residential,2505.295,975 EAST 550 NORTH,BOUNTIFUL,
Government,2142.688,,,
Residential,39821.06,79 EAST 100 NORTH,BOUNTIFUL,
Residential,1483.396,1078 WEST 600 NORTH,WEST BOUNTIFUL,
Residential,4153.53,1213 EAST CENTER STREET,BOUNTIFUL,
Residential,2307.521,547 EAST 550 NORTH,BOUNTIFUL,
Residential,3955.731,159 WEST PARK SHADOWS COURT,BOUNTIFUL,
Residential,1582.285,110 EAST 900 NORTH,BOUNTIFUL,
Residential,1648.215,260 EAST 400 NORTH,BOUNTIFUL,
Residential,1038.376,153 WEST 100 NORTH,BOUNTIFUL,
Residential,692.2507,373 NORTH 450 EAST,BOUNTIFUL,
Residential,2999.771,463 EAST 550 NORTH,BOUNTIFUL,
Residential,1977.881,892 NORTH 1050 EAST,BOUNTIFUL,
Residential,2241.59,95 NORTH 1100 WEST,WEST BOUNTIFUL,
Residential,1846.009,868 NORTH 275 WEST,BOUNTIFUL,
Residential,659.2863,350 NORTH 700 EAST,BOUNTIFUL,
Residential,2356.958,608 NORTH 400 EAST,BOUNTIFUL,
Residential,2637.146,932 EAST 75 NORTH,BOUNTIFUL,
Assembly,1318.571,879 NORTH MAIN STREET,BOUNTIFUL,
Residential,3626.087,75 NORTH PEREGRINE LANE,BOUNTIFUL,
Residential,3082.183,175 WEST PARK SHADOWS CIRCLE,BOUNTIFUL,
Commercial,2637.152,365 NORTH MAIN STREET,BOUNTIFUL,
Residential,923.0032,393 NORTH 100 WEST,BOUNTIFUL,
Residential,2472.331,537 EAST 550 NORTH,BOUNTIFUL,
Commercial,4120.551,80 NORTH PEREGRINE LANE,BOUNTIFUL,
Commercial,1186.725,532 WEST 550 NORTH,WEST BOUNTIFUL,
Government,527.4271,,,
Government,593.3692,,,
Government,527.4214,,,
Residential,2505.308,185 WEST PARK SHADOWS CIRCLE,BOUNTIFUL,
Commercial,9427.786,380 NORTH 200 WEST,BOUNTIFUL,
Residential,1054.862,465 EAST CENTER STREET,BOUNTIFUL,
Residential,1878.97,338 NORTH 800 EAST,BOUNTIFUL,
Residential,2373.431,515 NORTH 900 EAST,BOUNTIFUL,
Utility and Misc,2373.441,1007 EAST SKYHAWK DRIVE,WENDOVER,
Utility and Misc,2769.022,1007 EAST SKYHAWK DRIVE,WENDOVER,
Education,40068.26,348 EAST 900 NORTH,BOUNTIFUL,
Commercial,1318.581,121 WEST 100 NORTH,BOUNTIFUL,
Residential,494.4699,892 NORTH 650 EAST,BOUNTIFUL,
Commercial,593.3606,65 WEST 400 NORTH,BOUNTIFUL,
Residential,2307.513,559 EAST 550 NORTH,BOUNTIFUL,
Utility and Misc,2472.376,1007 EAST SKYHAWK DRIVE,WENDOVER,
Government,527.4327,,,
Government,527.4282,,,
Government,527.431,,,
Industrial,428.532,,,
Government,527.4261,,,
Government,527.4264,,,
Residential,3692.015,652 WEST 800 NORTH,WEST BOUNTIFUL,
Residential,1780.092,376 NORTH 200 EAST,BOUNTIFUL,
Residential,3230.525,515 EAST 550 NORTH,BOUNTIFUL,
Residential,3032.729,418 WEST CENTER STREET,BOUNTIFUL,
Residential,2505.321,570 NORTH 1100 EAST,BOUNTIFUL,
Government,527.4346,,,
Utility and Misc,2373.438,1007 EAST SKYHAWK DRIVE,WENDOVER,
Residential,2719.566,696 WEST 810 NORTH,WEST BOUNTIFUL,
Residential,2373.452,643 EAST 350 NORTH,BOUNTIFUL,
Utility and Misc,2472.333,1007 EAST SKYHAWK DRIVE,WENDOVER,
Residential,1846.012,175 WEST 100 NORTH,BOUNTIFUL,
Utility and Misc,2472.35,1007 EAST SKYHAWK DRIVE,WENDOVER,
Government,2571.224,,,
Residential,5538.051,835 NORTH PARK SHADOWS LANE,BOUNTIFUL,
Residential,2142.688,1130 EAST NORTHERN HILLS DRIVE,BOUNTIFUL,
Residential,2999.764,373 NORTH 300 EAST,BOUNTIFUL,
Residential,3230.507,477 EAST 550 NORTH,BOUNTIFUL,
Residential,1054.868,185 WEST 100 NORTH,BOUNTIFUL,
Residential,3790.939,571 NORTH 1300 EAST,BOUNTIFUL,
Government,2571.239,,,
Residential,2241.576,360 NORTH 300 EAST,BOUNTIFUL,
Residential,2571.218,130 EAST 100 NORTH,BOUNTIFUL,
Residential,3362.372,296 EAST 900 NORTH,BOUNTIFUL,
Residential,1483.398,181 WEST 100 NORTH,BOUNTIFUL,
Residential,1450.442,895 NORTH 200 WEST,BOUNTIFUL,
Residential,2521.782,715 WEST 400 NORTH,WEST BOUNTIFUL,
Residential,3230.497,489 EAST 550 NORTH,BOUNTIFUL,
Residential,4746.885,84 NORTH 200 WEST,BOUNTIFUL,
Residential,2637.148,995 EAST 550 NORTH,BOUNTIFUL,
Residential,494.4648,420 EAST 900 NORTH,BOUNTIFUL,
Residential,3032.713,1191 EAST 300 NORTH,BOUNTIFUL,
Residential,2241.587,95 NORTH 200 EAST,BOUNTIFUL,
Residential,3214.028,359 NORTH 650 EAST,BOUNTIFUL,
Residential,1846.002,33 WEST 900 NORTH,BOUNTIFUL,
Residential,2109.728,57 NORTH 750 EAST,BOUNTIFUL,
Residential,4549.118,818 NORTH EAGLE RIDGE DRIVE,BOUNTIFUL,
Residential,2637.136,633 EAST 350 NORTH,BOUNTIFUL,
Residential,1186.711,945 EAST 550 NORTH,BOUNTIFUL,
Residential,2538.268,1306 EAST 600 NORTH,BOUNTIFUL,
Government,461.5029,,,
Residential,395.5699,159 WEST 100 NORTH,BOUNTIFUL,
Residential,1813.044,41 WEST 900 NORTH,BOUNTIFUL,
Commercial,5801.753,29 WEST 400 NORTH,BOUNTIFUL,
Residential,2637.147,917 EAST 550 NORTH,BOUNTIFUL,
Residential,1582.294,51 WEST 900 NORTH,BOUNTIFUL,
Residential,2637.134,47 NORTH 1000 EAST,BOUNTIFUL,
Residential,2472.333,583 EAST 350 NORTH,BOUNTIFUL,
Residential,1846.007,59 WEST 900 NORTH,BOUNTIFUL,
Residential,2719.553,44 NORTH 1000 EAST,BOUNTIFUL,
Commercial,2637.15,830 NORTH 500 WEST,BOUNTIFUL,
Commercial,4845.751,399 WEST 400 NORTH,BOUNTIFUL,
Residential,2175.655,925 EAST 550 NORTH,BOUNTIFUL,
Commercial,3988.7,276 EAST 100 NORTH,BOUNTIFUL,
Residential,2142.68,604 WEST 800 NORTH,WEST BOUNTIFUL,
Residential,2472.327,25 WEST 900 NORTH,BOUNTIFUL,
Residential,2373.443,543 EAST 350 NORTH,BOUNTIFUL,
Residential,593.3607,134 EAST 400 NORTH,BOUNTIFUL,
Residential,791.1483,1061 WEST 700 NORTH,WEST BOUNTIFUL,
Residential,2356.971,208 EAST 650 NORTH,BOUNTIFUL,
Residential,593.3635,246 EAST 100 NORTH,BOUNTIFUL,
Residential,576.8764,1343 EAST 600 NORTH,BOUNTIFUL,
Residential,988.9315,81 WEST 900 NORTH,BOUNTIFUL,
Residential,1977.881,445 EAST CENTER STREET,BOUNTIFUL,
